#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,50.007299,170.000000,-0.291934,0.861762,-0.414898,-0.861403,-0.425416,-0.277501,-0.306014,-0.000412,0.952027,115.177007
0.000000,60.058394,0.000000,-0.859854,0.439367,-0.260015,-0.331318,-0.867701,-0.370572,-0.174034,-0.161853,0.971347,156.627387
0.000000,60.058394,10.051095,-0.904941,0.079635,-0.418020,-0.047101,-0.995042,-0.087594,-0.215692,-0.037748,0.975731,176.276344
0.000000,60.058394,19.978102,-0.785670,-0.325851,-0.525874,0.277223,-0.945358,0.171600,0.289468,-0.043097,-0.956217,161.618458
0.000000,60.058394,30.029197,-0.466978,-0.644344,-0.605601,0.540065,-0.750112,0.381657,0.407688,-0.072690,-0.910223,139.412083
0.000000,60.058394,39.956204,-0.078092,-0.754845,-0.651238,0.670829,-0.523013,0.525780,0.542176,-0.050742,-0.838731,121.799259
0.000000,60.058394,50.007299,0.308872,-0.659538,-0.685279,0.712616,-0.316703,0.626001,0.689605,0.029203,-0.723597,108.531580
0.000000,60.058394,60.058394,0.606442,-0.351979,-0.712979,0.698827,-0.191806,0.689094,0.824303,0.171347,-0.539597,103.170830
0.000000,60.058394,69.985401,0.709752,0.031701,-0.703738,0.699909,-0.145003,0.699358,0.879360,0.324947,-0.348044,106.270783
0.000000,60.058394,80.036496,0.626090,0.450780,-0.636246,0.753790,-0.141099,0.641788,0.863661,0.473889,-0.171808,118.136388
0.000000,60.058394,89.963504,0.400200,0.764868,-0.504794,0.859139,-0.121434,0.497126,0.806196,0.587812,-0.067271,135.518746
0.000000,60.058394,100.014599,0.133066,0.939077,-0.316905,0.959990,-0.042629,0.276772,0.738729,0.673539,-0.025006,155.280986
0.000000,60.058394,109.941606,-0.100300,0.991720,-0.080192,0.994900,0.100832,0.002602,0.670323,0.741615,-0.025954,176.488022
0.000000,60.058394,119.992701,-0.239702,0.957648,0.159543,0.908731,0.279152,-0.310294,-0.603226,-0.793799,0.077469,161.595901
0.000000,60.058394,130.043796,-0.268293,0.898553,0.347306,0.648357,0.435075,-0.624775,-0.530975,-0.824717,0.194697,140.019586
0.000000,60.058394,139.970803,-0.218538,0.876361,0.429222,0.252454,0.475654,-0.842627,-0.453504,-0.811290,0.368975,122.278600
0.000000,60.058394,150.021898,-0.181024,0.906142,0.382278,-0.188688,0.349479,-0.917748,-0.364447,-0.722737,0.587222,111.217866
0.000000,60.058394,159.948905,-0.243009,0.944652,0.220406,-0.557821,0.049800,-0.828466,-0.267983,-0.538945,0.798576,109.827028
0.000000,60.058394,170.000000,-0.395763,0.917718,0.034135,-0.699294,-0.277058,-0.658959,-0.210859,-0.354580,0.910940,117.432859
0.000000,69.985401,0.000000,-0.896143,0.403723,0.184216,-0.406924,-0.581992,-0.704058,0.002074,-0.407041,0.913408,153.656684
0.000000,69.985401,10.051095,-0.986764,0.162003,0.007198,-0.145272,-0.863384,-0.483181,-0.016856,-0.249735,0.968168,170.869204
0.000000,69.985401,19.978102,-0.968960,-0.190587,-0.157460,0.225594,-0.942166,-0.247852,0.066117,0.133866,-0.988791,167.851316
0.000000,69.985401,30.029197,-0.774098,-0.543278,-0.324995,0.585820,-0.809329,-0.042436,0.157680,0.074148,-0.984702,145.017985
0.000000,69.985401,39.956204,-0.458776,-0.781067,-0.423627,0.824438,-0.551996,0.124906,0.250922,0.055514,-0.966414,123.834371
0.000000,69.985401,50.007299,-0.062811,-0.836196,-0.544822,0.932507,-0.243704,0.266533,0.391953,0.097840,-0.914768,104.816548
0.000000,69.985401,60.058394,0.305202,-0.673063,-0.673675,0.920494,0.027241,0.389805,0.564555,0.214873,-0.796936,91.137188
