#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
19.978102,60.058394,0.000000,-0.663364,-0.270318,-0.697765,0.141502,-0.960963,0.237756,0.396854,-0.082204,-0.914193,166.983186
19.978102,60.058394,19.978102,-0.130787,-0.871965,-0.471776,0.463296,-0.474462,0.748493,0.528748,-0.246208,-0.812286,124.722980
19.978102,60.058394,39.956204,0.659983,-0.722284,-0.206708,0.241634,-0.056444,0.968724,0.836057,-0.254473,-0.486058,97.446023
19.978102,60.058394,60.058394,0.997060,-0.076610,-0.001567,-0.018682,-0.262870,0.964650,0.998837,-0.037718,-0.030035,105.347276
19.978102,60.058394,80.036496,0.869462,0.458701,0.183384,0.235575,-0.711289,0.662248,0.962723,0.202100,0.179779,141.643291
19.978102,60.058394,100.014599,0.677259,0.670214,0.303534,0.699565,-0.714379,0.016473,-0.915542,-0.374992,-0.145480,174.210401
19.978102,60.058394,119.992701,0.607313,0.770169,0.194964,0.648207,-0.338469,-0.682104,-0.878307,-0.470001,0.087607,135.887215
19.978102,60.058394,139.970803,0.364696,0.905702,-0.216102,-0.069057,-0.205139,-0.976294,-0.744712,-0.393818,0.538806,115.236509
19.978102,60.058394,159.948905,-0.276050,0.733908,-0.620625,-0.556398,-0.648541,-0.519437,-0.485037,-0.109664,0.867590,131.959744
19.978102,80.036496,0.000000,-0.905509,0.301695,-0.298386,0.048106,-0.625674,-0.778600,-0.205552,-0.427671,0.880253,171.718127
19.978102,80.036496,19.978102,-0.731968,-0.454275,-0.507797,0.634876,-0.725258,-0.266332,0.218709,0.226985,-0.949023,144.982441
19.978102,80.036496,39.956204,0.015701,-0.823667,-0.566857,0.974177,-0.115109,0.194241,0.379009,0.172747,-0.909126,98.592707
19.978102,80.036496,60.058394,0.696868,-0.380186,-0.608139,0.716379,0.409533,0.564875,0.739026,0.340542,-0.581268,70.605287
19.978102,80.036496,80.036496,0.740351,0.405894,-0.535845,0.427992,0.330065,0.841356,0.848910,0.528421,-0.011076,85.955558
19.978102,80.036496,100.014599,0.283339,0.921046,-0.267196,0.629052,0.031811,0.776712,0.748121,0.636512,0.187530,128.874110
19.978102,80.036496,119.992701,-0.094673,0.989490,0.109302,0.965985,0.064769,0.250357,0.671974,0.728994,0.130459,174.831472
19.978102,80.036496,139.970803,-0.177401,0.939279,0.293743,0.758569,0.320661,-0.567230,-0.592117,-0.790765,0.155203,144.396595
19.978102,80.036496,159.948905,-0.316826,0.943397,0.098097,0.013342,0.107847,-0.994078,-0.437119,-0.672272,0.597476,128.892936
